province,num_acc,num_injuries
Phetchabun,1,1
Sa Kaeo,2,2
Phitsanulok,1,0
Nakhon Pathom,1,1
Surat Thani,2,2
Bangkok,1,0
Nakhon Si Thammarat,2,2
Phrae,1,1
Phichit,2,1
Narathiwat,1,1
Sakon Nakhon,1,1
Nakhon Si Thammarat,2,2
Udon Thani,2,0
Kamphaeng Phet,1,0
Lopburi,1,0
Nonthaburi,1,1
Nakhon Nayok,1,1
Phrae,2,2
Samut Prakan,2,1
Lamphun,1,1
Lopburi,1,0
Chachoengsao,1,4
Lopburi,2,1
Uthai Thani,2,3
Tak,1,1
Nonthaburi,2,1
Roi Et,1,1
Ang Thong,1,1
Loei,1,1
Maha Sarakham,1,1
Pathum Thani,1,0
Saraburi,1,0
Ang Thong,2,1
Phetchabun,2,1
Nakhon Ratchasima,1,2
Maha Sarakham,1,1
Loei,1,1
Chiang Mai,2,0
Surat Thani,1,1
Lampang,1,0
Nakhon Ratchasima,1,1
Sukhothai,1,1
Phra Nakhon Si Ayutthaya,2,1
Udon Thani,1,2
Udon Thani,1,2
Chiang Mai,2,1
Nakhon Sawan,1,0
Samut Sakhon,1,1
Nakhon Nayok,3,0
Prachuap Khiri Khan,2,2
Samut Prakan,2,0
Nakhon Si Thammarat,2,1
Pathum Thani,1,0
Nakhon Sawan,1,0
Nonthaburi,1,0
Udon Thani,2,0
Surin,3,2
Yala,2,2
Surin,1,1
Phetchaburi,1,1
Chaiyaphum,1,1
Kanchanaburi,2,0
Roi Et,1,1
Sakon Nakhon,3,0
Krabi,1,1
Chumphon,1,1
Suphan Buri,2,1
Suphan Buri,2,1
Ratchaburi,1,1
Chiang Rai,1,0
Phrae,2,1
Kamphaeng Phet,2,1
Nonthaburi,2,2
Yasothon,2,0
Ang Thong,2,1
Buriram,2,0
Sakon Nakhon,2,1
Nakhon Ratchasima,1,1
Saraburi,2,1
Roi Et,1,1
Chainat,2,2
Nan,2,0
Lopburi,2,0
Kanchanaburi,1,7
Kalasin,2,1
Chiang Mai,1,1
Chonburi,1,1
Nakhon Si Thammarat,2,1
Nakhon Phanom,4,0
Phra Nakhon Si Ayutthaya,1,1
Ranong,1,1
Kanchanaburi,2,3
Nakhon Phanom,2,0
Narathiwat,1,1
Surat Thani,3,0
Sisaket,4,0
Nakhon Nayok,2,1
Phayao,4,0
Phra Nakhon Si Ayutthaya,2,1
Yala,1,1
Trang,2,4
Tak,1,2
Nakhon Sawan,2,1
Yasothon,2,1
Chumphon,2,1
Samut Prakan,3,2
Nakhon Ratchasima,1,1
Ang Thong,4,0
Nonthaburi,1,0
Surin,1,0
Samut Sakhon,2,1
Nakhon Sawan,5,0
Khon Kaen,2,1
Nong Khai,1,0
Buriram,2,1
Phetchabun,1,1
Ratchaburi,2,1
Kamphaeng Phet,2,1
Chiang Mai,2,0
Prachuap Khiri Khan,1,2
Yasothon,1,1
Phichit,1,2
Saraburi,2,1
Kalasin,2,1
Suphan Buri,2,1
Sa Kaeo,1,1
Sa Kaeo,2,1
Nakhon Si Thammarat,2,2
Phitsanulok,2,1
Chiang Mai,2,1
Nakhon Si Thammarat,1,0
Chachoengsao,1,4
Kanchanaburi,2,2
Chiang Rai,1,0
Phetchabun,7,0
Suphan Buri,2,4
Nakhon Phanom,4,0
Suphan Buri,1,0
Loei,1,1
Yala,1,0
Kamphaeng Phet,1,3
Chiang Mai,2,0
Tak,2,1
Suphan Buri,2,1
Maha Sarakham,1,1
Roi Et,1,1
Udon Thani,2,1
Roi Et,3,8
Nakhon Ratchasima,2,1
Kanchanaburi,2,1
Saraburi,1,1
Phra Nakhon Si Ayutthaya,1,1
Udon Thani,1,0
Nakhon Sawan,1,0
Suphan Buri,2,1
Udon Thani,2,1
Roi Et,1,1
Phrae,2,1
Yala,2,0
Yasothon,2,1
Sa Kaeo,1,0
Nakhon Sawan,5,0
Samut Sakhon,1,1
Lopburi,2,2
Sing Buri,2,1
Chonburi,3,1
Chonburi,2,2
Samut Songkhram,1,1
Roi Et,2,1
Mukdahan,2,1
Kanchanaburi,2,2
Phrae,1,1
Chiang Mai,2,0
Sa Kaeo,2,1
Nakhon Nayok,1,1
Nan,1,1
Nakhon Si Thammarat,1,1
Sing Buri,1,1
Lamphun,2,2
Chiang Mai,2,0
Ubon Ratchathani,2,1
Phichit,1,1
Phra Nakhon Si Ayutthaya,2,2
Uthai Thani,1,1
Sa Kaeo,2,2
Lampang,1,0
Tak,3,2
Ratchaburi,1,1
Chachoengsao,2,1
Nonthaburi,1,1
Kalasin,2,3
Nakhon Sawan,1,1
Chaiyaphum,2,1
Yala,2,3
Sisaket,1,1
Pathum Thani,2,1
Surat Thani,2,0
Kanchanaburi,2,0
Chainat,1,1
Kanchanaburi,2,1
Kanchanaburi,2,1
Yala,2,0
Saraburi,1,1
Sa Kaeo,2,0
Ubon Ratchathani,1,1
Nakhon Si Thammarat,2,0
Suphan Buri,2,6
Samut Sakhon,2,0
Kalasin,1,1
Kanchanaburi,1,1
Rayong,1,1
Phichit,1,1
Phetchabun,2,1
Pathum Thani,4,0
Lampang,1,0
Chiang Mai,1,0
Surin,1,1
Tak,1,1
Lopburi,1,1
Surat Thani,2,1
Suphan Buri,2,1
Chonburi,1,0
Songkhla,2,0
Nakhon Ratchasima,1,0
Surin,1,0
Chainat,1,0
Surat Thani,2,0
Chiang Mai,1,1
Songkhla,1,1
Samut Prakan,2,1
Nakhon Ratchasima,3,0
Sa Kaeo,1,1
Ang Thong,1,0
Chiang Mai,1,1
Samut Sakhon,2,2
Rayong,1,0
Phetchaburi,1,0
Bueng Kan,1,1
Chiang Mai,1,1
Phayao,1,1
Ang Thong,1,0
Samut Prakan,2,2
Phetchabun,1,1
Phrae,2,1
Udon Thani,1,0
Chiang Mai,1,0
Chiang Mai,1,0
Lopburi,1,1
Lopburi,1,1
Tak,1,1
Lopburi,1,7
Chiang Mai,1,0
Nakhon Si Thammarat,1,1
Phetchabun,1,1
Chiang Mai,1,0
Khon Kaen,1,4
Songkhla,1,2
Songkhla,1,1
Nan,1,1
Phuket,1,1
Chumphon,1,1
Maha Sarakham,1,1
Tak,1,4
Sing Buri,2,0
Lopburi,1,0
Uthai Thani,1,2
Chainat,1,0
Samut Prakan,2,1
Trang,1,0
Tak,2,1
Samut Prakan,2,1
Lampang,2,0
Khon Kaen,2,1
Roi Et,1,1
Tak,1,1
Songkhla,2,1
Sa Kaeo,2,1
Nakhon Si Thammarat,2,1
Chumphon,1,0
Suphan Buri,1,1
Nakhon Pathom,1,1
Kanchanaburi,2,2
Pathum Thani,1,0
Chiang Mai,1,0
Kamphaeng Phet,2,1
Chanthaburi,1,2
Kamphaeng Phet,2,1
Uthai Thani,2,3
Nakhon Ratchasima,2,1
